stopping_method,dataset,simulation,sim_key,ranker,records_seen,records_total,proportion_screened,never_stopped,achieved_recall,target_recall,confidence_level,overshot_target,cost_of_overshoot (prop),stopped_at_final_batch,stopped_at_target_recall_batch
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1300,6731,0.19313623532907442,False,0.7421875,0.8,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1300,6731,0.19313623532907442,False,0.7421875,0.8,0.95,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2400,6731,0.3565592036844451,False,0.7734375,0.9,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.84375,0.9,0.95,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.84375,0.95,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,3000,6731,0.4456990046055564,False,0.859375,0.95,0.95,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2700,6731,0.40112910414500075,False,0.8515625,0.99,0.8,False,0.0,False,False
ALISON,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,3400,6731,0.5051255385529639,False,0.8984375,0.99,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1600,6731,0.23770613578963007,False,0.671875,0.8,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1600,6731,0.23770613578963007,False,0.671875,0.8,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1600,6731,0.23770613578963007,False,0.671875,0.9,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.8203125,0.9,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,1700,6731,0.25256276927648197,False,0.703125,0.95,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.8203125,0.95,0.95,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.8203125,0.99,0.8,False,0.0,False,False
ALISON,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,2600,6731,0.38627247065814885,False,0.8203125,0.99,0.95,False,0.0,False,False
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.8,0.8,True,0.1392272885485555,False,False
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.8,0.95,True,0.1392272885485555,False,False
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.9,0.8,True,0.0,False,True
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5746,5746,1.0,True,1.0,0.9,0.95,False,0.0,False,False
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.95,0.8,True,0.0,False,True
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5746,5746,1.0,True,1.0,0.95,0.95,False,0.0,False,False
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5300,5746,0.9223807866341803,False,1.0,0.99,0.8,True,0.0,False,True
ALISON,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5746,5746,1.0,True,1.0,0.99,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,False,1.0,0.8,0.8,True,0.03225806451612903,True,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.8,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.9,0.8,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.9,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.95,0.8,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.95,0.95,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.99,0.8,False,0.0,False,False
ALISON,synergy-Cohen_2006_Antihistamines,1,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-abc01d688811c4d5fa448116b64a3d48cbb5ed64,RegressionRanker,310,310,1.0,True,1.0,0.99,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,600,1704,0.352112676056338,False,0.8666666666666667,0.8,0.8,True,0.0,False,True
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.8,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.9,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.9,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.95,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.95,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.99,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,1,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.99,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1100,1704,0.6455399061032864,False,0.9111111111111111,0.8,0.8,True,0.11737089201877934,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1600,1704,0.9389671361502347,False,0.9777777777777777,0.8,0.95,True,0.4107981220657277,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1700,1704,0.9976525821596244,False,1.0,0.9,0.8,True,0.352112676056338,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1704,1704,1.0,True,1.0,0.9,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1704,1704,1.0,True,1.0,0.95,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1704,1704,1.0,True,1.0,0.95,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1704,1704,1.0,True,1.0,0.99,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fe015d87b31c9913a9d5959a5f7709c78f0f5767,SVMRanker,1704,1704,1.0,True,1.0,0.99,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1200,1704,0.704225352112676,False,0.9555555555555556,0.8,0.8,True,0.352112676056338,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.8,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.9,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.9,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.95,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.95,0.95,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.99,0.8,False,0.0,False,False
ALISON,synergy-Kitchenham_2010,3,sdg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-54be4542635252f3cdcba3a6abda563c9c9dd1c6,SDGRanker,1704,1704,1.0,True,1.0,0.99,0.95,False,0.0,False,False
BUSCAR,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,4000,6731,0.5942653394740752,False,0.9140625,0.8,0.95,True,0.20799286881592632,False,False
BUSCAR,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,4300,6731,0.6388352399346308,False,0.9140625,0.9,0.95,True,0.11885306789481503,False,False
BUSCAR,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,5500,6731,0.8171148417768533,False,0.953125,0.95,0.95,True,0.08913980092111128,False,False
BUSCAR,generic-review-1253,2,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,6700,6731,0.9953944436190759,False,1.0,0.99,0.95,True,0.0742831674342594,False,False
BUSCAR,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,3200,6731,0.47541227157926014,False,0.828125,0.8,0.95,True,0.08913980092111128,False,False
BUSCAR,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,4800,6731,0.7131184073688902,False,0.9375,0.9,0.95,True,0.0742831674342594,False,False
BUSCAR,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,6100,6731,0.9062546426979646,False,0.984375,0.95,0.95,True,0.16342296835537068,False,False
BUSCAR,generic-review-1253,3,logreg-TrainMode.RESET-BatchStrategy.DYNAMIC-1_3-75000-fa7ecade831f941a4d59cd4f893f7b9d85ce6db8,RegressionRanker,6700,6731,0.9953944436190759,False,1.0,0.99,0.95,True,0.02971326697370376,False,False
BUSCAR,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5200,5746,0.9049773755656109,False,0.8181818181818182,0.8,0.95,True,0.12182387747998608,False,False
BUSCAR,synergy-Bos_2018,2,svm-TrainMode.RESET-BatchStrategy.DYNAMIC-1_1-5000-b697a000de474533bb491f638ece2405a0c389d5,SVMRanker,5600,5746,0.9745910198398886,False,1.0,0.9,0.95,True,0.05221023320570832,False,False
